D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 004 - Sable.bin,01870001-00470502,Head:04BD0772574984,CRC32:F8A35AF7
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 005 - Kapp'n.bin,01960001-00480502,Head:047CD8D2C14880,CRC32:E94CD68A
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 006 - Resetti.bin,018E0001-00490502,Head:0499E3D2C14880,CRC32:25F7927F
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 007 - Joan.bin,01A30001-004A0502,Head:046AA95AC94881,CRC32:BF2B400A
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 008 - Timmy.bin,01850001-004B0502,Head:04B7BBD2C14880,CRC32:4D845F95
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 009 - Digby.bin,018C0001-004C0502,Head:045C5E72284980,CRC32:29166DCD
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 010 - Pascal.bin,01A40001-004D0502,Head:047F519A024980,CRC32:3C5B6BAB
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 011 - Harriet.bin,01910001-004E0502,Head:0490884A544980,CRC32:BC422D48
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 012 - Redd.bin,01A80001-004F0502,Head:040C8C4A544981,CRC32:FB20F015
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 013 - Saharah.bin,01A60001-00500502,Head:04C1A772284980,CRC32:063DDDCF
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 014 - Luna.bin,01B50001-00510502,Head:04225BD2C14881,CRC32:76306784
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 015 - Tortimer.bin,01B00001-00520502,Head:046C56D2C14881,CRC32:040CF16D
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 016 - Lyle.bin,01AA0001-00530502,Head:047C32D2C14880,CRC32:6C60EC88
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 017 - Lottie.bin,01C10001-00540502,Head:047728D2C14880,CRC32:45DFDD83
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 018 - Bob.bin,025D0001-00550502,Head:0448DA9A024981,CRC32:8078E351
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 019 - Fauna.bin,02D60001-00560502,Head:04BA6A72284980,CRC32:114463BE
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 020 - Curt.bin,02160001-00570502,Head:04746972284980,CRC32:DE3651C4
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 021 - Portia.bin,02EF0001-00580502,Head:042FB072284981,CRC32:A50DE921
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 022 - Leonardo.bin,04FE0001-00590502,Head:040A2F82554981,CRC32:70307BE2
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 023 - Cheri.bin,02870001-005A0502,Head:043A8782554980,CRC32:4180F689
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 024 - Kyle.bin,05150001-005B0502,Head:04D3CB8A544980,CRC32:6D903DE1
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 025 - Al.bin,03710001-005C0502,Head:044EC38A544981,CRC32:9CA527C4
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 026 - Renée.bin,04BA0001-005D0502,Head:04BEA3DAC14880,CRC32:CFA3A338
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 027 - Lopez.bin,02DB0001-005E0502,Head:048F59DAC14880,CRC32:3DF36839
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 028 - Jambette.bin,03450001-005F0502,Head:042893DAC14880,CRC32:DDAF0E03
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 029 - Rasher.bin,047A0001-00600502,Head:0483A2DAC14880,CRC32:C9D5DBE2
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 030 - Tiffany.bin,049B0001-00610502,Head:04E25C8A544980,CRC32:C17F6788
D:\OneDrive\文档材料\游戏\Amiibo\7z\2024\MCAS Full Set - 18 December 2024\Animal Crossing\Cards\Series 1,[AC] 031 - Sheldon.bin,04ED0001-00620502,Head:04394D8A544980,CRC32:4E9563A2
